r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,ADM,47,-0.0964218570507237,0.0289103129266247,-0.153085029168691,-0.0397586849327565,0.000852361472663381,IVW
0.05,1,ADM,47,-0.105513173348496,0.041595302108025,-0.187038467406288,-0.0239878792907035,0.0111915324720713,PCA_0.90
0.05,1,ADM,47,-0.109631729884227,0.0288250685172235,-0.166127826029885,-0.0531356337385698,0.000142754333869155,PCA_0.99
0.05,1,ADM,47,-0.200361861966482,0.0367096432741857,-0.272311440669199,-0.128412283263765,4.81481206016099e-08,MR_Egger
0.05,1,ADM,47,0.0117767594881899,0.00312000455843866,0.00566166292204929,0.0178918560543304,0.000160266613162818,EggerInt
0.05,0.01,ADM,15,-0.0892727489926312,0.0294006056896938,-0.146896877268094,-0.0316486207171681,0.00239401257237039,IVW
0.05,0.01,ADM,15,-0.0953114509665681,0.047954323967339,-0.189300198845519,-0.00132270308761767,0.0468618631836174,PCA_0.90
0.05,0.01,ADM,15,-0.0961119529231448,0.0373598688056961,-0.169335950249451,-0.0228879555968391,0.0100938146957525,PCA_0.99
0.05,0.01,ADM,15,-0.0193893770416914,0.0891045717889952,-0.194031128605986,0.155252374522603,0.827738841180473,MR_Egger
0.05,0.01,ADM,15,-0.00823881966721046,0.00947267074125562,-0.0268049131574778,0.0103272738230569,0.384439101880831,EggerInt
0.05,0.001,ADM,8,-0.0937844039276101,0.0326706755962191,-0.157817751446791,-0.0297510564084291,0.00409695073137925,IVW
0.05,0.001,ADM,8,-0.0823617775157736,0.0499204060087436,-0.180203975386528,0.0154804203549808,0.0989711782622307,PCA_0.90
0.05,0.001,ADM,8,-0.0970097117948852,0.0371440385522739,-0.169810689597709,-0.0242087339920611,0.0090088830777123,PCA_0.99
0.05,0.001,ADM,8,-0.0364384330321555,0.105625311839068,-0.243460240092541,0.17058337402823,0.73011073780514,MR_Egger
0.05,0.001,ADM,8,-0.00702181462207549,0.0118143362065156,-0.0301774880880936,0.0161338588439426,0.552280086485236,EggerInt
0.05,1e-04,ADM,6,-0.0829117288265192,0.0340284687561435,-0.149606302037607,-0.0162171556154316,0.0148285250365095,IVW
0.05,1e-04,ADM,6,-0.0743493185037805,0.0499703498229568,-0.172289404451643,0.0235907674440822,0.136785528476411,PCA_0.90
0.05,1e-04,ADM,6,-0.090593061547492,0.0369160455938282,-0.162947181363034,-0.0182389417319502,0.014126542785912,PCA_0.99
0.05,1e-04,ADM,6,-0.0515160816382547,0.121913720810257,-0.29046258364763,0.187430420371121,0.672615000392473,MR_Egger
0.05,1e-04,ADM,6,-0.00395434201538523,0.0143418344273592,-0.0320638209652458,0.0241551369344753,0.782762521060607,EggerInt
0.05,1e-05,ADM,6,-0.0829117288265192,0.0340284687561435,-0.149606302037607,-0.0162171556154316,0.0148285250365095,IVW
0.05,1e-05,ADM,6,-0.0743493185037805,0.0499703498229568,-0.172289404451643,0.0235907674440822,0.136785528476411,PCA_0.90
0.05,1e-05,ADM,6,-0.090593061547492,0.0369160455938282,-0.162947181363034,-0.0182389417319502,0.014126542785912,PCA_0.99
0.05,1e-05,ADM,6,-0.0515160816382547,0.121913720810257,-0.29046258364763,0.187430420371121,0.672615000392473,MR_Egger
0.05,1e-05,ADM,6,-0.00395434201538523,0.0143418344273592,-0.0320638209652458,0.0241551369344753,0.782762521060607,EggerInt
0.05,5e-08,ADM,4,-0.0886093066591278,0.0370436669945592,-0.161213559823759,-0.0160050534944966,0.0167557883728558,IVW
0.05,5e-08,ADM,4,-0.0699721061694065,0.0487361945879953,-0.165493292305413,0.0255490799666003,0.151078662354794,PCA_0.90
0.05,5e-08,ADM,4,-0.0697055840353886,0.0471592027262439,-0.16213592291845,0.0227247548476725,0.13938347425001,PCA_0.99
0.05,5e-08,ADM,4,-0.0959459013778127,0.173855664158637,-0.436696741637032,0.244804938881406,0.581036730035303,MR_Egger
0.05,5e-08,ADM,4,0.000994977899689449,0.0230031478031947,-0.0440903633256238,0.0460803191250027,0.965499068409679,EggerInt
0.1,1,ADM,67,-0.125169609299026,0.0348052276290204,-0.193386601925624,-0.0569526166724271,0.000322790887233142,IVW
0.1,1,ADM,67,-0.0937982873898621,0.0453196419370443,-0.18262315337872,-0.00497342140100421,0.0384799826404332,PCA_0.90
0.1,1,ADM,67,-0.122695937710099,0.0287561803700496,-0.179057015568334,-0.0663348598518644,1.98325599328258e-05,PCA_0.99
0.1,1,ADM,67,-0.185175778027509,0.039640044498705,-0.262868837590536,-0.107482718464482,2.99106913059788e-06,MR_Egger
0.1,1,ADM,67,0.00563487495854679,0.00268186827701261,0.000378509724321591,0.010891240192772,0.0356321391121364,EggerInt
0.1,0.01,ADM,20,-0.102265432247276,0.0275412436875778,-0.156245277964369,-0.048285586530182,0.000204675996639223,IVW
0.1,0.01,ADM,20,-0.0894604333911976,0.0428169877661204,-0.173380187339286,-0.00554067944310957,0.0366746319689304,PCA_0.90
