Protein,beta,se,pval,QEp,RR,RR_LCI,RR_UCI
ADM,0.4278360162470342,0.05181295288124418,1.4898241598682115e-16,0.4977113833205603,1.533934520002794,1.3858095682281302,1.6978920954230716
AGRP,0.34004690255519143,0.050621919826071615,1.850152347657073e-11,0.9305220073800862,1.4050134877408622,1.2723044234147525,1.5515649119850827
Beta-NGF,0.15031652209154425,0.059274714233785476,0.011214917056358784,0.16719154358891913,1.1622020471388592,1.03472968324818,1.3053782260634985
BNP,0.6532132466302145,0.06401725377965803,1.9084776368488392e-24,0.5185230815099671,1.9217058336635229,1.695099997780471,2.1786049884796723
CASP-8,0.15641274630745924,0.055473124315423485,0.0048081588167888404,0.0029747874694377435,1.1693087313632873,1.0488427573766155,1.3036109556234083
CCL20,0.19998697070321894,0.04329668272948399,3.85611316873551e-6,0.27639140002115803,1.2213868442448184,1.1220159603423345,1.3295584697736051
CCL3,0.1485609397166805,0.04941482639786621,0.0026435737193136652,0.6208898054038419,1.160163495654979,1.0530699494516533,1.278148082519351
CCL4,0.052133147068063074,0.04455491748955013,0.24196580297900372,0.28696423088814316,1.053516005742661,0.9654191819260292,1.1496518767544137
CD40,0.304847629303923,0.04884406315517227,4.3410938861690876e-10,0.038319160696939726,1.356418308857666,1.2325867682519913,1.4926905561492654
CD40-L,0.04957432640458383,0.045168344377273566,0.2724028736134321,0.12972717310428022,1.050823693259275,0.9617949489497477,1.1480934013230684
CHI3L1,0.23833174850049607,0.045443059477220875,1.5660157801972948e-7,0.7866040715781729,1.2691301550201237,1.1609805950480405,1.3873542393830915
CSF-1,0.2841280302398246,0.053248494453022106,9.507780720452112e-8,0.2913507331971989,1.3286030212276396,1.1969335351945218,1.4747568984507897
CSTB,0.3490616863040353,0.05881444647419809,2.9390803929324707e-9,0.0021810017628954865,1.4177366425782318,1.263375982945624,1.5909572564634602
CTSD,0.11599757829012533,0.04640544598701827,0.012431450658140749,0.5889696756217462,1.122993152566355,1.0253608254455027,1.2299217889107352
CTSL1,0.1878634374388784,0.04729688798952218,7.12704649120486e-5,0.674405789202716,1.2066687183267097,1.099838378528264,1.3238757841280462
CX3CL1,0.18946678023520697,0.05331448945173206,3.797688501551765e-4,0.49395641193905476,1.2086049737495903,1.088686910802624,1.341731923180138
CXCL1,0.043181345597778246,0.049048519191495846,0.37865337394196447,0.10107835989107805,1.044127225558824,0.9484255495556922,1.1494857594925534
CXCL16,0.19444548052133614,0.04774323901149923,4.646461469763188e-5,0.2743020874099383,1.2146372596896688,1.106133334625904,1.3337846590848756
CXCL6,0.03462423340483345,0.049889484913103084,0.4876705076307268,0.3582640060770257,1.035230630613631,0.9387957329507453,1.141571505861248
Dkk-1,0.05659383894695939,0.04773496829600941,0.2357864228427596,0.033453885825555287,1.0582259129464524,0.9637098841515738,1.1620116191059242
EN-RAGE,0.22845705506815361,0.04956618103936127,4.0435419112298056e-06,0.09606248740303173,1.2566595568140517,1.140320228757782,1.3848682167573199
FABP4,0.46338617945486427,0.05244518705386761,9.9537213864453e-19,0.1593828435535651,1.5894470357003665,1.4341832188115053,1.7615196204779464
